name,id,city,lat,lon,category,created,status,members,join_mode,past_event_count,last_event,last_rsvp
Shadyside Young Professionals,22309612,Pittsburgh,40.47,-79.95,Socializing,2017-02-09 18:33:48,active,731,open,6,2017-12-05 18:00:00,31
The Pittsburgh Chick Lit Book Club,507383,Pittsburgh,40.5,-80.07,Movies & Film,2007-05-21 13:35:22,active,595,approval,645,2018-01-19 19:00:00,9
Pittsburgh Freethought Community  (PFC),325715,Pittsburgh,40.45,-79.99,Religion & Beliefs,2006-09-15 14:21:23,active,2007,open,402,2018-01-21 10:00:00,3
Pittsburgh Catholic Moms,9142582,Pittsburgh,40.4,-80.04,Parents & Family,2013-06-29 12:34:17,active,189,approval,1205,2018-01-22 19:15:00,4
Carnegie Museum of Natural History Meetup,19827252,Pittsburgh,40.44,-79.95,Education & Learning,2016-04-11 08:51:33,active,1188,approval,76,2018-01-21 10:00:00,20
Single Out dinner group for LGBTQ Singles,12893962,Pittsburgh,40.43,-79.97,LGBT,2014-02-15 13:09:20,active,1213,open,53,2018-01-19 19:00:00,37
The Pittsburgh Photo Safari Meetup Group,1519036,Pittsburgh,40.45,-79.98,Photography,2009-09-06 11:11:54,active,177,open,780,2018-01-20 10:00:00,15
Tech Happy Hour - Pittsburgh,21744088,Pittsburgh,40.47,-79.95,Career & Business,2017-01-02 14:19:47,active,999,open,14,2018-01-03 19:00:00,35
Girl Develop It Pittsburgh,4076772,Pittsburgh,40.45,-79.99,Tech,2012-06-13 20:49:34,active,2051,open,96,2018-01-18 19:00:00,37
#Resist: Pittsburgh,22222705,Pittsburgh,40.47,-79.95,Movements & Politics,2017-02-03 23:32:00,active,1283,open,145,2018-01-21 11:30:00,32
PGH Data Science,22206506,Pittsburgh,40.47,-79.95,Tech,2017-02-02 15:37:53,active,753,open,9,2018-01-10 16:00:00,72
South Hills Socialites,1719057,Pittsburgh,40.4,-80.02,Socializing,2010-10-08 13:17:36,active,151,approval,576,2018-01-16 19:10:00,2
Amazing Pittsburgh!,16377642,Pittsburgh,40.47,-79.92,Socializing,2014-08-13 22:10:10,active,3420,open,1735,2018-01-21 10:00:00,5
ProductTank Pittsburgh,20404969,Pittsburgh,40.45,-79.99,Tech,2016-09-09 01:55:24,active,436,open,7,2018-01-16 18:00:00,35
Pittsburgh Kubernetes Meetup,24339642,Pittsburgh,40.47,-79.95,Tech,2017-06-07 15:39:03,active,76,open,0,,0
Pittsburgh Women's Mastermind for Entreprenuers: Cranberry,20807272,Pittsburgh,40.38,-80.04,Career & Business,2016-10-19 15:03:47,active,403,open,29,2018-01-19 18:30:00,10
Mt. Lebanon Moms Network,1667002,Pittsburgh,40.38,-80.07,Parents & Family,2010-06-26 21:48:13,active,161,approval,3229,2018-01-23 09:00:00,0
Social Butterflies - A Group for Women,1600665,Irwin,40.33,-79.72,Career & Business,2010-02-17 10:49:35,active,75,approval,1210,2018-01-21 11:00:00,4
Asian Professionals of Pittsburgh,15417222,Pittsburgh,40.44,-79.95,Socializing,2014-06-30 12:34:33,active,265,approval,326,2018-01-21 10:00:00,1
Christian Business Partners - Faith Based Networking,19277257,Wexford,40.62,-80.06,Career & Business,2016-01-04 14:21:32,active,583,open,376,2018-01-23 08:15:00,4
Catholic Singles of Greater Pittsburgh,21938704,Pittsburgh,40.45,-79.98,Sports & Recreation,2017-01-15 18:52:56,active,275,open,134,2018-01-19 17:00:00,11
"Around the world: Foods, Cultures and Languages Potluck!",23143709,Pittsburgh,40.47,-80.02,Language & Ethnic Identity,2017-04-04 10:03:13,active,401,open,3,2018-01-20 18:00:00,48
Ladies and Littles of Robinson,4728862,Pittsburgh,40.44,-80.07,Parents & Family,2012-09-01 21:25:34,active,89,approval,1714,2018-01-22 09:30:00,4
The Pittsburgh Java Meetup Group,24034796,Pittsburgh,40.47,-79.95,Tech,2017-05-26 11:55:20,active,322,open,5,2017-11-29 16:30:00,34
(ISC)² Pittsburgh Chapter,23642663,Pittsburgh,40.47,-79.95,Tech,2017-05-06 17:31:45,active,189,open,6,2018-01-09 17:30:00,41
Pittsburgh Geekdom,2134361,Pittsburgh,40.44,-79.95,Sci-Fi & Fantasy,2011-07-07 01:43:08,active,1252,open,641,2018-01-19 18:00:00,3
Pittsburgh Women's Mastermind for Entrepreneurs: South Hills,23047251,Pittsburgh,40.47,-79.95,Career & Business,2017-03-29 03:50:48,active,350,open,19,2018-01-19 18:30:00,3
PA\Pgh Medical Marijuana-Meetup,20355954,Pittsburgh,40.47,-79.95,Health & Wellbeing,2016-08-26 07:53:18,active,358,open,14,2018-01-13 11:00:00,68
More4Moms-Canonsburg/Peters/McMurray,3437562,Canonsburg,40.27,-80.15,Parents & Family,2012-03-07 22:31:13,active,60,approval,2165,2018-01-23 09:30:00,8
