name,urlname,city,lat,lon,category,created,status,members,join_mode,past_event_count,last_event,last_rsvp
Pittsburgh Women's Mastermind for Entreprenuers: Cranberry,Pittsburghwomensmastermind-Cranberry,Pittsburgh,40.38,-80.04,Career & Business,2016-10-19 15:03:47,active,407,open,29,2018-01-19 18:30:00,10
South Hills Socialites,South-Hills-Socialites,Pittsburgh,40.4,-80.02,Socializing,2010-10-08 13:17:36,active,151,approval,578,2018-01-24 18:30:00,5
ProductTank Pittsburgh,ProductTank-Pittsburgh,Pittsburgh,40.45,-79.99,Tech,2016-09-09 01:55:24,active,439,open,7,2018-01-16 18:00:00,35
#Resist: Pittsburgh,Resist-Pittsburgh,Pittsburgh,40.47,-79.95,Movements & Politics,2017-02-03 23:32:00,active,1285,open,146,2018-01-23 12:00:00,4
Amazing Pittsburgh!,AmazingPittsburgh,Pittsburgh,40.47,-79.92,Socializing,2014-08-13 22:10:10,active,3421,open,1748,2018-01-26 21:00:00,2
Social Butterflies - A Group for Women,Social-Butterflies-women,Irwin,40.33,-79.72,Career & Business,2010-02-17 10:49:35,active,75,approval,1211,2018-01-25 18:30:00,1
Christian Business Partners - Faith Based Networking,CBPPittsburg,Wexford,40.62,-80.06,Career & Business,2016-01-04 14:21:32,active,584,open,379,2018-01-25 08:15:00,9
Asian Professionals of Pittsburgh,Asian-Professionals-of-Pittsburgh,Pittsburgh,40.44,-79.95,Socializing,2014-06-30 12:34:33,active,265,approval,329,2018-01-26 18:00:00,4
Ladies and Littles of Robinson,Ladies-and-Littles-of-Robinson,Pittsburgh,40.44,-80.07,Parents & Family,2012-09-01 21:25:34,active,88,approval,1718,2018-01-26 18:00:00,1
The Pittsburgh Java Meetup Group,The-Pittsburgh-Java-Meetup-Group,Pittsburgh,40.47,-79.95,Tech,2017-05-26 11:55:20,active,325,open,5,2017-11-29 16:30:00,34
Pittsburgh Geekdom,Geekdom1,Pittsburgh,40.44,-79.95,Sci-Fi & Fantasy,2011-07-07 01:43:08,active,1258,open,642,2018-01-26 18:00:00,4
Pittsburgh Women's Mastermind for Entrepreneurs: South Hills,Pittsburghwomensmastermind-South,Pittsburgh,40.47,-79.95,Career & Business,2017-03-29 03:50:48,active,354,open,19,2018-01-19 18:30:00,3
"Around the world: Foods, Cultures and Languages Potluck!",AroundTheWorldPgh,Pittsburgh,40.47,-80.02,Language & Ethnic Identity,2017-04-04 10:03:13,active,408,open,3,2018-01-20 18:00:00,48
WOMEN'S SMALL BUSINESS ASSOCIATION TM. - Allegheny County,Womens-Small-Business-Association,Pittsburgh,40.55,-80.04,Career & Business,2007-08-20 18:28:29,active,1002,open,918,2018-01-25 17:30:00,12
Catholic Singles of Greater Pittsburgh,Catholic-Singles-of-Greater-Pittsburgh,Pittsburgh,40.45,-79.98,Sports & Recreation,2017-01-15 18:52:56,active,275,open,134,2018-01-19 17:00:00,11
(ISC)² Pittsburgh Chapter,ISC-Pittsburgh-Chapter,Pittsburgh,40.47,-79.95,Tech,2017-05-06 17:31:45,active,190,open,6,2018-01-09 17:30:00,41
More4Moms-Canonsburg/Peters/McMurray,More4moms,Canonsburg,40.27,-80.15,Parents & Family,2012-03-07 22:31:13,active,63,approval,2166,2018-01-25 09:30:00,4
The Pittsburgh Metaphysics Meetup Group,The-Pittsburgh-Metaphysics-Meetup-Group,Pittsburgh,40.43,-79.89,New Age & Spirituality,2009-01-04 00:33:24,active,1295,open,2022,2018-01-25 18:30:00,1
Pittsburgh Agile (@PittAgile | #PittAgile),PittsburghAgile,Pittsburgh,40.46,-80.03,Tech,2011-03-02 11:31:00,active,1465,open,72,2018-01-24 18:00:00,27
Country Barn Farm,Country-Barn-Farm-Meetup,Pittsburgh,40.53,-79.88,Community & Environment,2014-02-13 14:53:02,active,326,open,79,2018-01-04 18:00:00,26
"MOMS Club® of Cranberry Twp. North, PA",MOMSClubCranberryNorth,Cranberry Twp,40.71,-80.11,Parents & Family,2015-07-28 13:24:42,active,48,approval,350,2018-01-26 10:00:00,13
Steel City Information Security,Steel-City-InfoSec,Pittsburgh,40.45,-79.99,Tech,2012-10-30 12:59:15,active,788,open,57,2018-01-10 18:00:00,50
Grants Professionals of Western PA,Grants-Professionals-of-Western-PA,Pittsburgh,40.45,-79.93,Community & Environment,2016-06-03 07:55:08,active,183,open,17,2017-11-29 12:00:00,8
Pittsburgh East Networking Group,Monroeville-Plum-Business-Referral-Networking-Meetup,Monroeville,40.43,-79.76,Career & Business,2014-03-26 10:55:13,active,82,approval,95,2018-01-16 12:30:00,24
Alex Deacon Real Estate Networking Workshops,Alex-Deacon-Team-Real-Estate-Networking-Meetup,Carnegie,40.41,-80.09,Career & Business,2015-08-09 17:43:12,active,343,open,28,2018-01-13 10:00:00,31
PA\Pgh Medical Marijuana-Meetup,Pgh-World-Medical-Marijuana-Meetup,Pittsburgh,40.47,-79.95,Health & Wellbeing,2016-08-26 07:53:18,active,360,open,14,2018-01-13 11:00:00,68
Pittsburgh Single Professionals,professional-singles-pittsburgh,Pittsburgh,40.47,-79.95,Singles,2015-11-10 23:05:36,active,3626,open,33,2017-12-16 07:30:00,10
Pittsburgh Pick-Up Indoor Volleyball,Pittsburgh-Pick-Up-Indoor-Volleyball,Pittsburgh,40.47,-79.95,Sports & Recreation,2017-11-01 08:31:29,active,208,open,8,2018-01-22 18:30:00,17
"Pgh Food, Beer, Wine & Fun",pgh-food-beer-wine-fun,Pittsburgh,40.42,-79.98,Socializing,2013-08-21 00:36:31,active,2475,open,951,2018-01-26 21:00:00,1
Make New Friends in Pittsburgh,Make-New-Friends-in-Pittsburgh,Pittsburgh,40.47,-79.95,Socializing,2017-09-01 17:06:40,active,887,open,2,2018-01-11 05:00:00,28
Pittsburgh Badminton,Pittsburgh-Badminton,Pittsburgh,40.47,-79.95,Sports & Recreation,2015-08-28 12:12:33,active,486,open,121,2018-01-21 18:30:00,11
Pittsburgh SQL Server User Group,PittsburghSQL,Pittsburgh,40.43,-80.05,Tech,2014-08-04 17:14:17,active,385,open,39,2017-12-21 17:00:00,9
HackPGH,HackPGH,Pittsburgh,40.45,-79.98,Tech,2015-05-27 07:38:41,active,1623,open,79,2018-01-17 19:00:00,17
South Hills Business Network,South-Hills-Business-Network-Exchange,Pittsburgh,40.45,-79.99,Career & Business,2015-04-12 19:20:36,active,280,open,72,2018-01-16 09:00:00,16
Hiking Club Of Raccoon Creek,Hiking-Club-Of-Raccoon-Creek,Pittsburgh,40.44,-80.07,Outdoors & Adventure,2012-12-18 11:25:51,active,1441,approval,267,2018-01-21 10:00:00,26
Morgantown Codes,morgantown-codes,Morgantown,39.64,-79.95,Tech,2012-11-29 18:57:01,active,134,open,14,2018-01-11 18:30:00,33
"Code for Pittsburgh, our Region's Code for America Brigade",codeforpgh,Pittsburgh,40.4,-79.93,Tech,2014-11-24 16:44:12,active,739,open,112,2018-01-18 17:00:00,18
The Pittsburgh French Meetup Group,FrenchLessons,Pittsburgh,40.43,-79.92,Language & Ethnic Identity,2003-10-22 16:39:49,active,974,approval,770,2018-01-20 10:00:00,7
Japanese Language Study Group,JSGPITT,Pittsburgh,40.44,-79.95,Sci-Fi & Fantasy,2011-02-13 00:21:06,active,682,open,910,2018-01-21 15:00:00,4
Pittsburgh Power BI User Group,Pittsburgh-Power-BI-Meetup,Pittsburgh,40.47,-79.95,Tech,2016-07-14 21:08:11,active,218,open,21,2018-01-25 17:00:00,15
MOMS Club of Ross/McCandless,MOMSClubofRossMcCandless,Pittsburgh,40.55,-80.04,Parents & Family,2013-08-14 20:52:37,active,31,approval,622,2018-01-26 11:00:00,4
Pittsburgh Feminists' Magick Full Moon Circle,Pittsburgh-Feminists-Magick-Full-Moon-Circle,Pittsburgh,40.44,-79.95,New Age & Spirituality,2015-08-03 20:08:59,active,513,open,37,2018-01-02 19:00:00,14
Women's Book Club,meetup-group-gBaDnEly,Bridgeville,40.36,-80.11,Book Clubs,2017-10-31 14:15:43,active,238,open,2,2018-01-09 19:00:00,8
From Startup to Success,From-Startup-to-Success,Pittsburgh,40.47,-79.95,Career & Business,2017-10-03 09:39:51,active,193,open,3,2018-01-18 09:00:00,22
"Pgh 20s/30s International Friends, Travel and Food",Pgh-20s-30s-International-Friends-Travel-and-Food,Pittsburgh,40.47,-79.95,Language & Ethnic Identity,2018-01-14 14:10:54,active,68,open,0,,0
Pittsburgh Women's Mastermind for Entrepreneurs: Robinson,PittsburghWomensMastermind-Robinson,Pittsburgh,40.44,-80.1,Career & Business,2014-08-07 16:47:30,active,603,open,64,2018-01-23 09:30:00,21
The Pittsburgh Lesbian Professionals Social Group,pghlesbianprofessionals,Pittsburgh,40.5,-80.07,LGBT,2008-06-03 09:29:04,active,792,approval,185,2018-01-26 19:00:00,26
Pittsburgh Travelers Meetup,Pittsburgh-Travel-Meetup,Glenshaw,40.52,-79.95,Outdoors & Adventure,2016-11-03 11:35:37,active,331,approval,34,2018-01-24 19:00:00,16
Service Design Pittsburgh,Service-Design-Pittsburgh,Pittsburgh,40.44,-79.95,Tech,2017-01-10 12:11:21,active,116,approval,8,2018-01-17 18:00:00,27
South Hills of Pittsburgh Hiking/Walking Group,Newbie-Walking-Hiking-Group,Lawrence,40.3,-80.13,Support,2016-03-29 11:20:29,active,541,approval,264,2018-01-26 10:00:00,4
Pittsburgh North Moms and Families,Pittsburgh-North-Moms-and-Families,Pittsburgh,40.55,-80.04,Parents & Family,2008-08-01 12:59:18,active,85,approval,1284,2018-01-25 10:45:00,1
The Pittsburgh 30ish Social Group,pittsburgh30ish,Pittsburgh,40.42,-79.98,Socializing,2008-05-08 23:52:35,active,2746,open,822,2018-01-20 19:30:00,22
Autism/Asperger's Support Group and Social Meetup Pgh,autismofpa,Pittsburgh,40.44,-79.95,Support,2010-10-05 11:17:26,active,263,approval,275,2018-01-16 18:00:00,4
Non-Boring Books and Beyond in the Burgh,burghbooks,Pittsburgh,40.44,-79.95,Socializing,2011-01-21 04:41:56,active,477,open,404,2018-01-11 18:00:00,6
Pittsburgh Unplugged Gaming,Pittsburgh-Unplugged-Gaming,Pittsburgh,40.47,-79.95,Games,2017-05-26 09:31:50,active,200,approval,35,2018-01-26 18:00:00,9
Pittsburgh Think and Grow Rich Mastermind,Pittsburgh-Think-and-Grow-Rich-Mastermind,Pittsburgh,40.35,-79.98,Career & Business,2016-11-18 08:20:21,active,533,open,13,2018-01-26 11:00:00,16
